SRA experiment	BioSample
SRX3751779	SAMN08623583
SRX3751773	SAMN08623589
SRX2661249	SAMN06603743
SRX2661248	SAMN06603744
SRX2661247	SAMN06603745
SRX027400	SAMN00113743
SRX1047628	SAMN03758579
SRX11166824	SAMN19730653
SRX11094097	SAMN19606618
SRX13942153	SAMN25301037
SRX8151650	SAMN14655914
SRX12412393	SAMN21909320
SRX019491	SAMN00011852
SRX134732	SAMN00847536
SRX2039895	SAMN05607962
SRX825365	SAMN03273763
SRX1272800	SAMN04100871
SRX10474959	SAMN07791124
SRX7767937	SAMN14161362
SRX6724548	SAMN12587274
SRX14923640	SAMN27646102
SRX4466633	SAMN09722766
SRX10591719	SAMN18721507
SRX3751781	SAMN08623581
SRX17561461	SAMN30839353
SRX10477231	SAMN18513275
SRX7767936	SAMN14161363
SRX10478652	SAMN18512885
SRX760962	SAMN03196925
SRX4550082	SAMN09828521
SRX032890	SAMN00139501
SRX3092157	SAMN07503885
SRX10660834	SAMN07790804
SRX7767938	SAMN14161361
SRX539685	SAMN02768523
SRX3092165	SAMN07503886
SRX3766939	SAMN08637931
SRX821807	SAMN03272618
SRX5661492	SAMN11387812
ERX3472229	SAMEA5807725
ERX206137	SAMEA1877861
SRX573012	SAMN02839444
SRX573013	SAMN02839450
ERX1305845	SAMEA3862447
SRX9521085	SAMN16817065
SRX5548889	SAMN11179198
ERX1305842	SAMEA3862444
SRX026641	SAMN00113182
SRX026657	SAMN00113198
SRX6493818	SAMN12345736
SRX2026364	SAMN05579877
SRX15231427	SAMN28188730
SRX1085073	SAMN03846961
SRX3636795	SAMN08448325
SRX17045762	SAMN30285769
SRX19237130	SAMN32983121
SRX8807159	SAMN15618765
SRX17215536	SAMN30501305
SRX9681369	SAMN17075489
SRX12877678	SAMN22820478
SRX12877679	SAMN22820479
ERX9971450	SAMEA111533044
SRX6966116	SAMN12995238
SRX6704385	SAMN12562563
ERX1302297	SAMEA3857551
SRX114606	SAMN00769956
SRX019713	SAMN00012098
SRX9606386	SAMN16956258
ERX200492	SAMEA1706514
SRX3591428	SAMN08378918
SRX11375077	SAMN20109422
SRX2349630	SAMN06017650
SRX095396	SAMN00715095
ERX2736461	SAMEA4814081
SRX5862438	SAMN11730053
SRX1054877	SAMN03766828
SRX7029035	SAMN13068494
SRX095395	SAMN00715094
SRX205129	SAMN01816402
SRX1047327	SAMN03758722
SRX201295	SAMN01780234
SRX201256	SAMN01780195
SRX10194309	SAMN18093599
SRX3545870	SAMN08334934
SRX2831680	SAMN07138115
DRX000744	SAMD00009960
SRX095394	SAMN00715093
DRX113857	SAMD00108460
SRX14359219	SAMN26417682
SRX11896365	SAMN20962077
SRX10001314	SAMN17734299
SRX3048878	SAMN07426761
SRX2713354	SAMN06690562
SRX019763	SAMN00012132
SRX9560792	SAMN16878056
SRX1901489	SAMN05363626
SRX055164	SAMN00254249
SRX1331086	SAMN04160435
SRX040413	SAMN00204013
ERX2242349	SAMEA104324882
SRX13711950	SAMN24812994
SRX026653	SAMN00113194
SRX005154	SAMN00002390
SRX323151	SAMN02252542
